team,entry,role,task,subtask,schedule,stat,N,result
3,1,GUIDE,SLU,semantic_tagged,class,f1,13402,0.50748928114
3,1,TOURIST,SLU,speech_act,all,precision,4193,0.449797281183
3,1,TOURIST,SLU,speech_act,all,recall,4579,0.411880323215
3,1,TOURIST,SLU,speech_act,all,f1,6886,0.430004559964
3,1,TOURIST,SLU,speech_act,act,precision,4100,0.706341463415
3,1,TOURIST,SLU,speech_act,act,recall,4093,0.707549474713
3,1,TOURIST,SLU,speech_act,act,f1,5297,0.706944953009
3,1,TOURIST,SLU,semantic_tagged,detection,precision,1013,0.794669299112
3,1,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.390587093644
3,1,TOURIST,SLU,semantic_tagged,detection,f1,2269,0.523747560182
3,1,TOURIST,SLU,semantic_tagged,all,precision,1013,0.533070088845
3,1,TOURIST,SLU,semantic_tagged,all,recall,2061,0.262008733624
3,1,TOURIST,SLU,semantic_tagged,all,f1,2534,0.351333767079
3,1,TOURIST,SLU,semantic_tagged,class,precision,1013,0.699901283317
3,1,TOURIST,SLU,semantic_tagged,class,recall,2061,0.344007763222
3,1,TOURIST,SLU,semantic_tagged,class,f1,2365,0.461288223813
5,0,GUIDE,SLU,speech_act,all,precision,8555,0.408533021625
5,0,GUIDE,SLU,speech_act,all,recall,10389,0.336413514294
5,0,GUIDE,SLU,speech_act,all,f1,15449,0.368982263514
5,0,GUIDE,SLU,speech_act,act,precision,8555,0.725774400935
5,0,GUIDE,SLU,speech_act,act,recall,8562,0.725181032469
5,0,GUIDE,SLU,speech_act,act,f1,10908,0.725477595373
5,0,GUIDE,SLU,semantic_tagged,detection,precision,6227,0.759595310744
5,0,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.443589984057
5,0,GUIDE,SLU,semantic_tagged,detection,f1,12160,0.56009473061
5,0,GUIDE,SLU,semantic_tagged,all,precision,6227,0.500562068412
5,0,GUIDE,SLU,semantic_tagged,all,recall,10663,0.292319234737
5,0,GUIDE,SLU,semantic_tagged,all,f1,13773,0.369094138544
5,0,GUIDE,SLU,semantic_tagged,class,precision,6227,0.66452545367
5,0,GUIDE,SLU,semantic_tagged,class,recall,10663,0.388070899372
5,0,GUIDE,SLU,semantic_tagged,class,f1,12752,0.489994079337
5,0,TOURIST,SLU,speech_act,all,precision,4085,0.502570379437
5,0,TOURIST,SLU,speech_act,all,recall,4579,0.448351168377
5,0,TOURIST,SLU,speech_act,all,f1,6611,0.473915050785
5,0,TOURIST,SLU,speech_act,act,precision,4085,0.799020807834
5,0,TOURIST,SLU,speech_act,act,recall,4093,0.797459076472
5,0,TOURIST,SLU,speech_act,act,f1,4914,0.798239178283
5,0,TOURIST,SLU,semantic_tagged,detection,precision,1261,0.739888977002
5,0,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.45269286754
5,0,TOURIST,SLU,semantic_tagged,detection,f1,2389,0.561709813365
5,0,TOURIST,SLU,semantic_tagged,all,precision,1261,0.508326724822
5,0,TOURIST,SLU,semantic_tagged,all,recall,2061,0.311014070839
5,0,TOURIST,SLU,semantic_tagged,all,f1,2681,0.385912101144
5,0,TOURIST,SLU,semantic_tagged,class,precision,1261,0.661379857256
5,0,TOURIST,SLU,semantic_tagged,class,recall,2061,0.404657933042
5,0,TOURIST,SLU,semantic_tagged,class,f1,2488,0.502107164359
5,1,GUIDE,SLU,speech_act,all,precision,8555,0.390531852718
5,1,GUIDE,SLU,speech_act,all,recall,10389,0.321590143421
5,1,GUIDE,SLU,speech_act,all,f1,15603,0.352723817568
5,1,GUIDE,SLU,speech_act,act,precision,8555,0.726125073057
5,1,GUIDE,SLU,speech_act,act,recall,8562,0.725531417893
5,1,GUIDE,SLU,speech_act,act,f1,10905,0.725828124087
5,1,GUIDE,SLU,semantic_tagged,detection,precision,3692,0.856717226436
5,1,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.296633217669
5,1,GUIDE,SLU,semantic_tagged,detection,f1,11192,0.440682688959
5,1,GUIDE,SLU,semantic_tagged,all,precision,3692,0.546858071506
5,1,GUIDE,SLU,semantic_tagged,all,recall,10663,0.189346337804
5,1,GUIDE,SLU,semantic_tagged,all,f1,12336,0.281295715778
5,1,GUIDE,SLU,semantic_tagged,class,precision,3692,0.728331527627
5,1,GUIDE,SLU,semantic_tagged,class,recall,10663,0.252180437025
5,1,GUIDE,SLU,semantic_tagged,class,f1,11666,0.37464298154
5,1,TOURIST,SLU,speech_act,all,precision,4085,0.451897184823
5,1,TOURIST,SLU,speech_act,all,recall,4579,0.403144791439
5,1,TOURIST,SLU,speech_act,all,f1,6818,0.426131117267
5,1,TOURIST,SLU,speech_act,act,precision,4085,0.799020807834
5,1,TOURIST,SLU,speech_act,act,recall,4093,0.797459076472
5,1,TOURIST,SLU,speech_act,act,f1,4914,0.798239178283
5,1,TOURIST,SLU,semantic_tagged,detection,precision,1240,0.749193548387
5,1,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.450752062106
5,1,TOURIST,SLU,semantic_tagged,detection,f1,2372,0.562859739473
5,1,TOURIST,SLU,semantic_tagged,all,precision,1240,0.512096774194
5,1,TOURIST,SLU,semantic_tagged,all,recall,2061,0.308102862688
5,1,TOURIST,SLU,semantic_tagged,all,f1,2666,0.384731899424
5,1,TOURIST,SLU,semantic_tagged,class,precision,1240,0.671774193548
5,1,TOURIST,SLU,semantic_tagged,class,recall,2061,0.404172731684
5,1,TOURIST,SLU,semantic_tagged,class,f1,2468,0.504695546804
5,2,GUIDE,SLU,speech_act,all,precision,8555,0.463939216832
5,2,GUIDE,SLU,speech_act,all,recall,10389,0.382038694773
5,2,GUIDE,SLU,speech_act,all,f1,14975,0.419024493243
5,2,GUIDE,SLU,speech_act,act,precision,8555,0.718877849211
5,2,GUIDE,SLU,speech_act,act,recall,8562,0.718290119131
5,2,GUIDE,SLU,speech_act,act,f1,10967,0.718583863995
5,2,GUIDE,SLU,semantic_tagged,detection,precision,7381,0.624983064625
5,2,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.432617462253
5,2,GUIDE,SLU,semantic_tagged,detection,f1,13431,0.511305697185
5,2,GUIDE,SLU,semantic_tagged,all,precision,7381,0.357675111773
5,2,GUIDE,SLU,semantic_tagged,all,recall,10663,0.247585107381
5,2,GUIDE,SLU,semantic_tagged,all,f1,15404,0.292618044779
5,2,GUIDE,SLU,semantic_tagged,class,precision,7381,0.522557918981
5,2,GUIDE,SLU,semantic_tagged,class,recall,10663,0.361718090594
5,2,GUIDE,SLU,semantic_tagged,class,f1,14187,0.427510529816
5,2,TOURIST,SLU,speech_act,all,precision,4085,0.491554467564
5,2,TOURIST,SLU,speech_act,all,recall,4579,0.43852369513
5,2,TOURIST,SLU,speech_act,all,f1,6656,0.463527239151
5,2,TOURIST,SLU,speech_act,act,precision,4085,0.778702570379
5,2,TOURIST,SLU,speech_act,act,recall,4093,0.777180552162
5,2,TOURIST,SLU,speech_act,act,f1,4997,0.777940816826
5,2,TOURIST,SLU,semantic_tagged,detection,precision,1521,0.540433925049
5,2,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.398835516739
5,2,TOURIST,SLU,semantic_tagged,detection,f1,2760,0.458961474037
5,2,TOURIST,SLU,semantic_tagged,all,precision,1521,0.303090072321
5,2,TOURIST,SLU,semantic_tagged,all,recall,2061,0.223677826298
5,2,TOURIST,SLU,semantic_tagged,all,f1,3121,0.257398101619
5,2,TOURIST,SLU,semantic_tagged,class,precision,1521,0.438527284681
5,2,TOURIST,SLU,semantic_tagged,class,recall,2061,0.323629306162
5,2,TOURIST,SLU,semantic_tagged,class,f1,2915,0.372417643774
5,3,GUIDE,SLU,speech_act,all,precision,8555,0.454003506721
5,3,GUIDE,SLU,speech_act,all,recall,10389,0.373856964097
5,3,GUIDE,SLU,speech_act,all,f1,15060,0.410050675676
5,3,GUIDE,SLU,speech_act,act,precision,8555,0.724488603156
5,3,GUIDE,SLU,speech_act,act,recall,8562,0.723896285915
5,3,GUIDE,SLU,speech_act,act,f1,10919,0.724192323421
5,3,GUIDE,SLU,semantic_tagged,detection,precision,7772,0.617086978899
5,3,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.449779611742
5,3,GUIDE,SLU,semantic_tagged,detection,f1,13639,0.520314618931
5,3,GUIDE,SLU,semantic_tagged,all,precision,7772,0.34855892949
5,3,GUIDE,SLU,semantic_tagged,all,recall,10663,0.254056081778
5,3,GUIDE,SLU,semantic_tagged,all,f1,15726,0.293897477624
5,3,GUIDE,SLU,semantic_tagged,class,precision,7772,0.504374678332
5,3,GUIDE,SLU,semantic_tagged,class,recall,10663,0.367626371565
5,3,GUIDE,SLU,semantic_tagged,class,f1,14515,0.425278003797
5,3,TOURIST,SLU,speech_act,all,precision,4085,0.487148102815
5,3,TOURIST,SLU,speech_act,all,recall,4579,0.434592705831
5,3,TOURIST,SLU,speech_act,all,f1,6674,0.459372114497
5,3,TOURIST,SLU,speech_act,act,precision,4085,0.778947368421
5,3,TOURIST,SLU,speech_act,act,recall,4093,0.777424871732
5,3,TOURIST,SLU,speech_act,act,f1,4996,0.778185375397
5,3,TOURIST,SLU,semantic_tagged,detection,precision,1511,0.551290536069
5,3,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.404172731684
5,3,TOURIST,SLU,semantic_tagged,detection,f1,2739,0.46640537514
5,3,TOURIST,SLU,semantic_tagged,all,precision,1511,0.293183322303
5,3,TOURIST,SLU,semantic_tagged,all,recall,2061,0.214944201844
5,3,TOURIST,SLU,semantic_tagged,all,f1,3129,0.24804031355
5,3,TOURIST,SLU,semantic_tagged,class,precision,1511,0.422236929186
5,3,TOURIST,SLU,semantic_tagged,class,recall,2061,0.309558466764
5,3,TOURIST,SLU,semantic_tagged,class,f1,2934,0.357222844345
5,4,GUIDE,SLU,speech_act,all,precision,8555,0.445938047925
5,4,GUIDE,SLU,speech_act,all,recall,10389,0.3672153239
5,4,GUIDE,SLU,speech_act,all,f1,15129,0.402766047297
5,4,GUIDE,SLU,speech_act,act,precision,8555,0.72390414962
5,4,GUIDE,SLU,speech_act,act,recall,8562,0.723312310208
5,4,GUIDE,SLU,speech_act,act,f1,10924,0.723608108898
5,4,GUIDE,SLU,semantic_tagged,detection,precision,6630,0.581297134238
5,4,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.361436743881
5,4,GUIDE,SLU,semantic_tagged,detection,f1,13439,0.445729485919
5,4,GUIDE,SLU,semantic_tagged,all,precision,6630,0.3395173454
5,4,GUIDE,SLU,semantic_tagged,all,recall,10663,0.211103816937
5,4,GUIDE,SLU,semantic_tagged,all,f1,15042,0.260336552362
5,4,GUIDE,SLU,semantic_tagged,class,precision,6630,0.494419306184
5,4,GUIDE,SLU,semantic_tagged,class,recall,10663,0.307418174998
5,4,GUIDE,SLU,semantic_tagged,class,f1,14015,0.37911293587
5,4,TOURIST,SLU,speech_act,all,precision,4085,0.498408812729
5,4,TOURIST,SLU,speech_act,all,recall,4579,0.444638567373
5,4,TOURIST,SLU,speech_act,all,f1,6628,0.46999076639
5,4,TOURIST,SLU,speech_act,act,precision,4085,0.785556915545
5,4,TOURIST,SLU,speech_act,act,recall,4093,0.784021500122
5,4,TOURIST,SLU,speech_act,act,f1,4969,0.784788456835
5,4,TOURIST,SLU,semantic_tagged,detection,precision,1449,0.505175983437
5,4,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.355167394469
5,4,TOURIST,SLU,semantic_tagged,detection,f1,2778,0.417094017094
5,4,TOURIST,SLU,semantic_tagged,all,precision,1449,0.294685990338
5,4,TOURIST,SLU,semantic_tagged,all,recall,2061,0.207180980107
5,4,TOURIST,SLU,semantic_tagged,all,f1,3083,0.243304843305
5,4,TOURIST,SLU,semantic_tagged,class,precision,1449,0.414078674948
5,4,TOURIST,SLU,semantic_tagged,class,recall,2061,0.291120815138
5,4,TOURIST,SLU,semantic_tagged,class,f1,2910,0.34188034188
7,0,GUIDE,SLU,speech_act,all,precision,6175,0.500728744939
7,0,GUIDE,SLU,speech_act,all,recall,10389,0.297622485321
7,0,GUIDE,SLU,speech_act,all,f1,13472,0.373339773002
7,0,GUIDE,SLU,speech_act,act,precision,6040,0.729801324503
7,0,GUIDE,SLU,speech_act,act,recall,8562,0.514832982948
7,0,GUIDE,SLU,speech_act,act,f1,10194,0.60375291056
7,0,GUIDE,SLU,semantic_tagged,detection,precision,7772,0.735203293875
7,0,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.535871705899
7,0,GUIDE,SLU,semantic_tagged,detection,f1,12721,0.619907784106
7,0,GUIDE,SLU,semantic_tagged,all,precision,7772,0.440041173443
7,0,GUIDE,SLU,semantic_tagged,all,recall,10663,0.320735252743
7,0,GUIDE,SLU,semantic_tagged,all,f1,15015,0.371033360456
7,0,GUIDE,SLU,semantic_tagged,class,precision,7772,0.591353576943
7,0,GUIDE,SLU,semantic_tagged,class,recall,10663,0.431023164213
7,0,GUIDE,SLU,semantic_tagged,class,f1,13839,0.498616761595
7,0,TOURIST,SLU,speech_act,all,precision,3747,0.507872965039
7,0,TOURIST,SLU,speech_act,all,recall,4579,0.415592924219
7,0,TOURIST,SLU,speech_act,all,f1,6423,0.457122267595
7,0,TOURIST,SLU,speech_act,act,precision,3705,0.648043184885
7,0,TOURIST,SLU,speech_act,act,recall,4093,0.586611287564
7,0,TOURIST,SLU,speech_act,act,f1,5397,0.615798922801
7,0,TOURIST,SLU,semantic_tagged,detection,precision,1368,0.68567251462
7,0,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.455118874333
7,0,TOURIST,SLU,semantic_tagged,detection,f1,2491,0.547098279382
7,0,TOURIST,SLU,semantic_tagged,all,precision,1368,0.440789473684
7,0,TOURIST,SLU,semantic_tagged,all,recall,2061,0.292576419214
7,0,TOURIST,SLU,semantic_tagged,all,f1,2826,0.351706036745
7,0,TOURIST,SLU,semantic_tagged,class,precision,1368,0.563596491228
7,0,TOURIST,SLU,semantic_tagged,class,recall,2061,0.374090247453
7,0,TOURIST,SLU,semantic_tagged,class,f1,2658,0.449693788276
